# ts: 1780645948.2026622
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
017490,财通景气甄选一年持有期混合A,混合型,2026-06-04,5.2923,5.2923,1.96,5.06,46.33,104.05,131.39,418.14,374.86,nan,109.36,429.23,0.15%
014915,财通匠心优选一年持有混合A,混合型,2026-06-04,3.2799,3.2799,1.71,4.88,46.58,104.85,132.34,417.82,353.09,303.58,110.71,227.99,0.15%
001480,财通成长优选混合A,混合型,2026-06-04,8.077,8.077,1.96,4.61,41.65,96.76,123.37,414.79,362.34,298.08,103.14,707.7,0.15%
017491,财通景气甄选一年持有期混合C,混合型,2026-06-04,5.1728,5.1728,1.96,5.05,46.23,103.65,130.49,414.04,367.41,nan,108.66,417.28,0.00%
014916,财通匠心优选一年持有混合C,混合型,2026-06-04,3.1727,3.1727,1.7,4.86,46.47,104.45,131.43,413.71,345.92,293.98,110.0,217.27,0.00%
021528,财通成长优选混合C,混合型,2026-06-04,4.634,4.634,1.96,4.6,41.58,96.52,122.9,412.61,358.36,nan,102.8,363.4,0.00%
011369,华商均衡成长混合A,混合型,2026-06-04,4.2704,4.2704,1.41,6.81,34.11,80.89,143.05,402.05,473.05,338.12,116.85,327.04,0.15%
011370,华商均衡成长混合C,混合型,2026-06-04,4.1408,4.1408,1.41,6.79,34.03,80.62,142.34,399.13,466.3,330.35,116.31,314.08,0.00%
016370,信澳业绩驱动混合A,混合型,2026-06-04,3.2991,3.2991,-0.11,4.55,27.68,72.2,105.23,390.72,513.1,346.19,86.83,229.91,0.15%
016371,信澳业绩驱动混合C,混合型,2026-06-04,3.2248,3.2248,-0.11,4.55,27.61,71.95,104.63,387.87,505.82,338.27,86.36,222.48,0.00%
022364,永赢科技智选混合发起A,混合型,2026-06-04,6.0633,6.0633,0.67,1.16,26.29,59.85,78.03,375.37,nan,nan,60.43,506.33,0.15%
022365,永赢科技智选混合发起C,混合型,2026-06-04,6.0043,6.0043,0.67,1.15,26.22,59.6,77.49,372.56,nan,nan,60.02,500.43,0.00%
002692,富国创新科技混合A,混合型,2026-06-04,5.505,5.505,2.61,7.02,29.47,77.98,113.12,362.99,350.49,250.64,92.68,450.5,0.15%
001753,红土创新新兴产业混合A,混合型,2026-06-04,5.294,5.294,0.86,3.08,24.74,63.75,112.53,361.95,427.29,280.59,93.56,429.4,0.15%
018956,中航机遇领航混合发起A,混合型,2026-06-04,5.8029,5.8029,0.21,2.27,28.22,55.61,79.89,361.9,452.24,nan,60.83,480.29,0.15%
720001,财通价值动量混合A,混合型,2026-06-04,15.472,15.943,1.94,3.87,37.24,82.82,107.26,361.71,301.87,264.39,88.09,1949.95,0.15%
008528,华泰柏瑞质量成长A,混合型,2026-06-04,3.6583,3.6583,0.54,6.66,29.65,71.66,134.76,360.69,371.67,251.56,105.73,265.83,0.15%
