# ts: 1780645794.4138129
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
006502,财通集成电路产业股票A,股票型,2026-06-04,8.1272,8.1272,2.18,4.4,42.59,99.6,125.87,410.57,415.42,349.76,105.46,712.72,0.15%
006503,财通集成电路产业股票C,股票型,2026-06-04,7.6542,7.6542,2.17,4.39,42.48,99.2,124.98,406.57,407.3,339.11,104.77,665.42,0.00%
006265,红土创新新科技股票A,股票型,2026-06-04,10.2498,10.2998,2.53,5.32,24.71,58.7,122.96,295.21,383.16,258.56,98.83,940.57,0.15%
001956,国联安科技动力,股票型,2026-06-04,4.3608,4.3608,-0.56,4.9,23.52,69.48,91.53,262.98,249.51,157.61,71.91,336.08,0.15%
000411,景顺长城优质成长股票A,股票型,2026-06-04,5.147,5.7,0.86,3.79,27.72,59.1,88.12,251.09,306.24,325.11,72.49,665.81,0.15%
021500,景顺长城优质成长股票C,股票型,2026-06-04,5.108,5.108,0.85,3.78,27.67,58.93,87.73,249.86,303.16,nan,72.16,308.31,0.00%
010013,易方达信息行业精选股票A,股票型,2026-06-04,2.9024,2.9424,0.96,1.99,25.05,60.49,78.34,245.51,295.13,221.52,67.4,196.83,0.15%
019024,易方达信息行业精选股票C,股票型,2026-06-04,2.8644,2.9044,0.96,1.98,24.99,60.29,77.9,243.76,291.05,nan,67.05,280.49,0.00%
006081,海富通电子传媒股票A,股票型,2026-06-04,6.4859,6.4859,1.69,2.27,26.66,62.22,80.52,243.02,244.79,121.54,66.84,548.59,0.15%
006080,海富通电子传媒股票C,股票型,2026-06-04,6.0574,6.0574,1.69,2.25,26.56,61.9,79.82,240.28,239.37,116.3,66.29,505.74,0.00%
010391,易方达战略新兴产业股票A,股票型,2026-06-04,2.7733,2.8433,1.71,0.81,23.0,59.34,80.27,238.08,324.2,246.32,67.79,188.25,0.15%
010392,易方达战略新兴产业股票C,股票型,2026-06-04,2.7113,2.7813,1.71,0.8,22.95,59.19,79.9,236.72,320.76,242.11,67.51,182.04,0.00%
008382,融通产业趋势股票,股票型,2026-06-04,2.4733,2.5283,1.07,3.88,25.21,69.94,105.05,233.33,255.56,220.0,84.01,159.38,0.15%
001877,宝盈国家安全沪港深股票A,股票型,2026-06-04,4.2336,4.2336,2.4,0.8,23.16,58.3,114.57,232.36,264.02,234.25,73.58,323.36,0.15%
013613,宝盈国家安全沪港深股票C,股票型,2026-06-04,4.1191,4.1191,2.4,0.78,23.1,58.07,113.95,230.59,259.78,228.35,73.14,139.09,0.00%
540010,汇丰晋信科技先锋股票,股票型,2026-06-04,6.2157,6.2157,-1.07,4.22,27.12,58.02,84.62,230.55,272.87,170.59,69.91,521.57,0.15%
014191,广发先进制造股票发起式A,股票型,2026-06-04,2.7355,2.7355,2.42,6.24,24.74,46.31,86.25,230.45,270.36,228.43,64.43,173.55,0.15%
