ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,20230804,975.7776,972.4839,976.9765,968.8195,970.3727,5.4049,0.557,2850332.18,15280189.504
000688.SH,20230807,968.8975,973.2893,977.411,967.1574,975.7776,-6.8801,-0.7051,2386455.3,13100022.201
000688.SH,20230808,965.5321,967.4326,971.7249,965.0414,968.8975,-3.3654,-0.3473,2117119.15,12382328.684
000688.SH,20230809,957.3687,961.5034,966.7032,956.4007,965.5321,-8.1634,-0.8455,1870171.09,11070532.337
000688.SH,20230810,959.1699,957.2175,961.8582,954.4172,957.3687,1.8012,0.1881,1879083.88,11817859.01
000688.SH,20230811,938.7652,960.0953,960.6452,938.7652,959.1699,-20.4047,-2.1273,2462445.24,11871863.376
000688.SH,20230814,930.4952,932.0922,934.2513,919.9442,938.7652,-8.27,-0.8809,2719076.42,12593758.086
000688.SH,20230815,917.4499,933.0566,935.0059,911.5907,930.4952,-13.0453,-1.402,3526147.53,13110711.528
000688.SH,20230816,901.7867,916.5863,920.353,901.6783,917.4499,-15.6632,-1.7073,2694768.47,13774137.388
000688.SH,20230817,910.3778,899.7992,913.8459,896.4352,901.7867,8.5911,0.9527,2654127.42,13428222.194
000688.SH,20230818,904.2485,924.2961,924.2961,904.2485,910.3778,-6.1293,-0.6733,2615781.08,12751308.325
000688.SH,20230821,892.0926,900.2241,907.6046,891.7448,904.2485,-12.1559,-1.3443,2467794.69,11155001.234
000688.SH,20230822,901.1284,896.7445,903.7842,877.624,892.0926,9.0358,1.0129,3194958.89,15992988.405
000688.SH,20230823,879.459,899.9612,899.9612,879.459,901.1284,-21.6694,-2.4047,2350496.77,11856689.177
000688.SH,20230824,885.4764,883.7991,895.9134,880.0304,879.459,6.0174,0.6842,3138871.01,13891634.135
000688.SH,20230825,870.3988,880.1672,882.4416,865.0887,885.4764,-15.0776,-1.7028,2827519.49,12798385.806
000688.SH,20230828,880.1914,925.9997,927.6328,878.2617,870.3988,9.7926,1.1251,4240096.7,18527555.924
000688.SH,20230829,916.4552,878.7799,920.5417,878.7799,880.1914,36.2638,4.12,4704472.22,19935613.812
000688.SH,20230830,939.6481,935.818,950.6977,928.4236,916.4552,23.1929,2.5307,5518983.43,23919832.669
000688.SH,20230831,942.6126,936.1949,949.4645,932.3352,939.6481,2.9645,0.3155,4913875.92,22199125.953
000688.SH,20230901,934.7868,944.2507,945.7243,927.2084,942.6126,-7.8258,-0.8302,3136859.75,15279254.98
