ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20230804,2263.3732,2263.4041,2282.6477,2247.8998,2241.9832,21.39,0.9541,22414476.43,78175918.17919
399006.SZ,20230807,2240.7749,2252.4345,2255.9991,2234.0409,2263.3732,-22.5983,-0.9984,16376848.31,59256619.83276
399006.SZ,20230808,2228.9091,2238.6632,2244.8974,2226.2386,2240.7749,-11.8658,-0.5295,14320821.46,51504813.79385
399006.SZ,20230809,2228.731,2222.51,2241.8739,2222.51,2228.9091,-0.1781,-0.008,12699517.15,47114356.07514
399006.SZ,20230810,2239.3064,2226.9126,2241.8498,2220.8318,2228.731,10.5754,0.4745,12355818.0,46028998.84468
399006.SZ,20230811,2187.0362,2241.4811,2241.4811,2187.0362,2239.3064,-52.2702,-2.3342,15160785.55,49412512.82878
399006.SZ,20230814,2164.6928,2163.2801,2170.2206,2139.9729,2187.0362,-22.3434,-1.0216,13669322.92,49758130.21819
399006.SZ,20230815,2148.6738,2164.8197,2171.5642,2130.3819,2164.6928,-16.019,-0.74,14780631.13,48939860.75517
399006.SZ,20230816,2132.9695,2140.0059,2158.0038,2132.8876,2148.6738,-15.7043,-0.7309,12547520.58,43851688.79418
399006.SZ,20230817,2147.0612,2130.5403,2151.2273,2113.3043,2132.9695,14.0917,0.6607,12583754.36,45437636.6828
399006.SZ,20230818,2118.9245,2145.7965,2156.1726,2118.9245,2147.0612,-28.1367,-1.3105,12515655.96,43083798.87274
399006.SZ,20230821,2084.9693,2108.6999,2115.0199,2084.9693,2118.9245,-33.9552,-1.6025,13195535.36,42362318.09398
399006.SZ,20230822,2086.9407,2099.8415,2104.736,2049.091,2084.9693,1.9714,0.0946,14057658.08,48817525.47009
399006.SZ,20230823,2038.9756,2081.2143,2081.2143,2038.9756,2086.9407,-47.9651,-2.2983,10776283.37,37161896.92732
399006.SZ,20230824,2064.5734,2050.534,2083.6437,2042.5799,2038.9756,25.5978,1.2554,14125966.3,47811929.89117
399006.SZ,20230825,2040.3988,2053.6485,2059.1489,2032.5815,2064.5734,-24.1746,-1.1709,14656484.13,46900016.15119
399006.SZ,20230828,2060.0436,2182.3865,2182.3865,2055.6104,2040.3988,19.6448,0.9628,29020412.97,84880724.78128
399006.SZ,20230829,2118.1941,2054.9764,2133.5971,2054.9764,2060.0436,58.1505,2.8228,22318456.42,72342178.55045
399006.SZ,20230830,2117.1255,2122.6486,2141.5986,2110.8736,2118.1941,-1.0686,-0.0504,16516043.25,54603861.63758
399006.SZ,20230831,2102.575,2111.0204,2117.4018,2100.7272,2117.1255,-14.5505,-0.6873,12465314.66,40069570.37572
399006.SZ,20230901,2100.2576,2108.077,2118.5107,2093.0988,2102.575,-2.3174,-0.1102,10207611.44,33348286.05946
399006.SZ,20230904,2118.0337,2110.1687,2120.9773,2088.9936,2100.2576,17.7761,0.8464,12222062.49,40433036.93448
399006.SZ,20230905,2111.327,2113.5953,2122.6238,2107.861,2118.0337,-6.7067,-0.3166,12135023.95,42130483.62229
399006.SZ,20230906,2101.3978,2103.2972,2105.1003,2089.4531,2111.327,-9.9292,-0.4703,12642890.25,45743416.38508
399006.SZ,20230907,2056.98,2096.615,2097.2843,2056.98,2101.3978,-44.4178,-2.1137,12582606.1,46023902.09462
399006.SZ,20230908,2049.765,2047.6003,2057.1231,2038.5707,2056.98,-7.215,-0.3508,10741679.7,40245026.13588
399006.SZ,20230911,2063.1889,2048.9499,2076.903,2041.7653,2049.765,13.4239,0.6549,14093212.36,50711486.70262
399006.SZ,20230912,2051.0388,2060.6204,2063.9247,2049.4825,2063.1889,-12.1501,-0.5889,10047167.5,35697436.93625
399006.SZ,20230913,2027.7293,2045.3142,2053.4546,2015.3944,2051.0388,-23.3095,-1.1365,10207773.04,34746552.97791
399006.SZ,20230914,2011.8831,2021.5972,2024.8586,2002.4311,2027.7293,-15.8462,-0.7815,9458725.22,34738997.58908
399006.SZ,20230915,2002.7279,2009.3269,2022.944,1996.1217,2011.8831,-9.1552,-0.4551,11139897.38,45031694.07476
399006.SZ,20230918,2020.4668,1994.8683,2033.1465,1993.6795,2002.7279,17.7389,0.8857,11485169.59,41832893.3023
399006.SZ,20230919,2002.6646,2017.8896,2017.8896,1995.2407,2020.4668,-17.8022,-0.8811,9962325.75,33235781.34254
399006.SZ,20230920,1987.296,2000.7189,2001.5035,1987.296,2002.6646,-15.3686,-0.7674,8814043.08,30536993.72065
399006.SZ,20230921,1967.6072,1983.02,1990.3284,1967.6072,1987.296,-19.6888,-0.9907,9600222.19,32337042.38055
399006.SZ,20230922,2013.3442,1965.6924,2013.9555,1963.2326,1967.6072,45.737,2.3245,15242753.26,54392019.5387
399006.SZ,20230925,2005.2552,2015.3155,2015.3155,2000.8119,2013.3442,-8.089,-0.4018,13505733.79,46286914.49384
399006.SZ,20230926,1989.828,2000.2311,2007.91,1989.6504,2005.2552,-15.4272,-0.7693,11059657.35,42210636.3394
399006.SZ,20230927,2006.2235,1994.0131,2027.8181,1990.1578,1989.828,16.3955,0.824,12739872.71,48933679.71499
399006.SZ,20230928,2003.908,2013.621,2019.287,1995.5589,2006.2235,-2.3155,-0.1154,12693397.82,43526310.55207
399006.SZ,20231009,1998.6074,2000.1341,2006.4277,1977.7743,2003.908,-5.3006,-0.2645,17547971.69,55927199.48329
399006.SZ,20231010,1987.9379,2004.9469,2014.2973,1987.3511,1998.6074,-10.6695,-0.5338,13798446.3,45169002.93184
399006.SZ,20231011,2003.9016,2000.5151,2021.1074,1996.8196,1987.9379,15.9637,0.803,17292922.46,54948826.51283
399006.SZ,20231012,2019.1024,2015.5463,2022.3614,2001.9055,2003.9016,15.2008,0.7586,16265071.75,52382324.08556
399006.SZ,20231013,1996.6013,2004.2049,2005.7185,1986.1885,2019.1024,-22.5011,-1.1144,17848615.16,54902821.51426
399006.SZ,20231016,1956.7227,1993.907,1994.2638,1949.3257,1996.6013,-39.8786,-1.9973,14984905.38,46670432.35227
399006.SZ,20231017,1961.8859,1963.8281,1969.4698,1950.3316,1956.7227,5.1632,0.2639,13662227.94,42518363.42536
399006.SZ,20231018,1938.4351,1952.9964,1952.9964,1934.8436,1961.8859,-23.4508,-1.1953,13130487.37,41780089.08805
399006.SZ,20231019,1913.7019,1925.5329,1936.216,1913.4254,1938.4351,-24.7332,-1.2759,13684079.45,44141277.54567
399006.SZ,20231020,1896.9455,1899.9853,1922.9334,1893.9501,1913.7019,-16.7564,-0.8756,13081864.16,44811148.93918
399006.SZ,20231023,1864.9086,1891.4849,1891.4849,1854.4451,1896.9455,-32.0369,-1.6889,13674730.48,42311302.36201
399006.SZ,20231024,1880.8143,1872.2906,1890.099,1859.8643,1864.9086,15.9057,0.8529,16789024.04,53632224.50294
399006.SZ,20231025,1863.7961,1890.4845,1894.535,1863.7682,1880.8143,-17.0182,-0.9048,16959518.88,56527827.70225
399006.SZ,20231026,1875.8575,1851.1925,1877.4476,1840.2577,1863.7961,12.0614,0.6471,20383827.26,61860854.65916
399006.SZ,20231027,1929.9086,1868.226,1937.3132,1863.5267,1875.8575,54.0511,2.8814,22226488.89,71588045.3971
399006.SZ,20231030,1977.6856,1933.7894,1983.4648,1931.7009,1929.9086,47.777,2.4756,22004580.3,73775003.01125
399006.SZ,20231031,1968.2265,1974.7999,1975.3949,1958.3518,1977.6856,-9.4591,-0.4783,16476610.12,54418265.72228
