ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
930050.CSI,20230804,1599.918,1608.0202,1613.9935,1598.6607,1594.19,5.728,0.3593,35578706.88,91967334.853
930050.CSI,20230807,1586.8418,1593.6767,1593.6767,1581.8553,1599.918,-13.0762,-0.8173,27931937.87,75587945.205
930050.CSI,20230808,1583.5473,1582.4755,1589.853,1576.4475,1586.8418,-3.2945,-0.2076,21613593.69,61593231.329
930050.CSI,20230809,1581.585,1578.4011,1585.7454,1578.4011,1583.5473,-1.9623,-0.1239,19312068.55,53157682.846
930050.CSI,20230810,1581.2776,1579.3205,1582.2571,1570.7495,1581.585,-0.3074,-0.0194,19382362.46,52154188.224
930050.CSI,20230811,1544.6174,1583.2425,1583.2425,1544.6174,1581.2776,-36.6602,-2.3184,27936634.03,65058136.72
930050.CSI,20230814,1530.757,1526.5546,1531.9222,1517.1344,1544.6174,-13.8604,-0.8973,25873003.3,66795935.426
930050.CSI,20230815,1527.9393,1531.0759,1532.0051,1516.0593,1530.757,-2.8177,-0.1841,19751882.95,52258390.743
930050.CSI,20230816,1519.255,1521.635,1529.3041,1519.1212,1527.9393,-8.6843,-0.5684,20329890.84,54056789.805
930050.CSI,20230817,1527.5456,1512.4604,1529.1364,1508.7059,1519.255,8.2906,0.5457,19241947.32,53561370.129
930050.CSI,20230818,1508.9792,1527.737,1529.552,1508.9792,1527.5456,-18.5664,-1.2154,19216567.23,52219032.829
930050.CSI,20230821,1489.5811,1502.7415,1508.463,1489.5811,1508.9792,-19.3981,-1.2855,21440091.71,57349080.406
930050.CSI,20230822,1498.5291,1497.8404,1504.4053,1480.2147,1489.5811,8.948,0.6007,30953518.83,68298915.754
930050.CSI,20230823,1474.4674,1496.7844,1496.7844,1474.4674,1498.5291,-24.0617,-1.6057,22354488.27,50525366.288
930050.CSI,20230824,1488.7336,1480.2081,1495.4159,1477.5603,1474.4674,14.2662,0.9675,26189678.15,58942158.656
930050.CSI,20230825,1486.3478,1480.8503,1495.3794,1480.0226,1488.7336,-2.3858,-0.1603,24598501.48,55222173.879
930050.CSI,20230828,1505.2239,1563.3782,1563.3782,1503.6217,1486.3478,18.8761,1.27,40224970.24,102903785.223
930050.CSI,20230829,1519.6257,1501.6105,1529.18,1501.6105,1505.2239,14.4018,0.9568,30535421.18,82155308.693
930050.CSI,20230830,1521.495,1527.4943,1530.9172,1518.7981,1519.6257,1.8693,0.123,29496809.61,72194602.362
930050.CSI,20230831,1515.1344,1522.9277,1524.1207,1514.341,1521.495,-6.3606,-0.418,22960998.06,56510806.713
930050.CSI,20230901,1526.1961,1521.7564,1532.7505,1521.7564,1515.1344,11.0617,0.7301,20459529.88,52235253.51
930050.CSI,20230904,1550.731,1537.6005,1551.7837,1535.7235,1526.1961,24.5349,1.6076,30996853.76,76810423.884
930050.CSI,20230905,1541.0614,1546.7799,1546.7799,1539.816,1550.731,-9.6696,-0.6236,22848414.49,59231769.918
930050.CSI,20230906,1536.7421,1536.3925,1537.5294,1529.4061,1541.0614,-4.3193,-0.2803,19500073.9,53881521.05
