ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2025-07-21,1007.8938,1007.5845,1010.3445,1005.0314,1007.5252,0.3686,0.0366,5808705.0,26906563.356
000688.SH,2025-07-22,1016.2653,1007.5126,1019.0296,1005.8381,1007.8938,8.3715,0.8306,6977007.0,31505202.793
000688.SH,2025-07-23,1020.8554,1016.5813,1030.5447,1014.8445,1016.2653,4.5901,0.4517,7053932.0,33385942.319
000688.SH,2025-07-24,1032.8379,1019.7195,1032.8379,1019.3087,1020.8554,11.9825,1.1738,7214478.0,32633729.553
000688.SH,2025-07-25,1054.1956,1032.448,1059.7336,1028.7886,1032.8379,21.3577,2.0679,7433888.0,41937228.168
000688.SH,2025-07-28,1055.1086,1054.9059,1059.0498,1048.5481,1054.1956,0.913,0.0866,6319298.0,35094152.852
000688.SH,2025-07-29,1070.4479,1053.1178,1071.4369,1051.5528,1055.1086,15.3393,1.4538,6913306.0,40516759.456
000688.SH,2025-07-30,1058.5715,1065.9386,1073.816,1051.1076,1070.4479,-11.8764,-1.1095,6832508.0,35323137.071
000688.SH,2025-07-31,1047.8699,1057.3203,1070.7594,1045.4505,1058.5715,-10.7016,-1.0109,8360018.0,45684318.295
000688.SH,2025-08-01,1036.7746,1047.375,1056.4184,1029.53,1047.8699,-11.0953,-1.0588,6263113.0,33049271.021
000688.SH,2025-08-04,1049.4062,1034.1273,1049.459,1033.854,1036.7746,12.6316,1.2184,5928392.0,33222283.957
000688.SH,2025-08-05,1053.6462,1048.714,1054.1066,1046.5275,1049.4062,4.24,0.404,5487126.0,26801640.177
000688.SH,2025-08-06,1059.7614,1051.8721,1060.4018,1049.598,1053.6462,6.1152,0.5804,6070429.0,34761262.507
000688.SH,2025-08-07,1058.2051,1059.8447,1069.0444,1053.7306,1059.7614,-1.5563,-0.1469,6183818.0,38436154.459
000688.SH,2025-08-08,1043.5366,1052.461,1052.7355,1042.8386,1058.2051,-14.6685,-1.3862,6792742.0,33381498.692
000688.SH,2025-08-11,1049.7296,1043.2274,1053.6954,1043.0766,1043.5366,6.193,0.5935,6343111.0,30339848.725
