ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,2025-07-21,2296.8833,2285.4135,2297.1362,2273.8087,2277.152,19.7313,0.8665,28824359.96,120226837.20542
399006.SZ,2025-07-22,2310.856,2295.3643,2313.4588,2290.3781,2296.8833,13.9727,0.6083,32032635.2,131992087.00516
399006.SZ,2025-07-23,2310.671,2308.114,2333.3104,2304.6301,2310.856,-0.185,-0.008,34209118.78,126503147.3545
399006.SZ,2025-07-24,2345.3673,2319.2524,2345.3673,2318.417,2310.671,34.6963,1.5016,38929695.25,143348253.25367
399006.SZ,2025-07-25,2340.0557,2348.2809,2350.0618,2332.0249,2345.3673,-5.3116,-0.2265,34842364.84,115114513.73924
399006.SZ,2025-07-28,2362.5995,2346.3807,2366.5068,2334.1604,2340.0557,22.5438,0.9634,29900893.2,125091962.66311
399006.SZ,2025-07-29,2406.5945,2362.7746,2406.5945,2355.375,2362.5995,43.995,1.8621,32875471.09,138829176.95252
399006.SZ,2025-07-30,2367.6835,2395.8591,2395.8856,2349.1819,2406.5945,-38.911,-1.6168,35273261.17,140643553.0223
399006.SZ,2025-07-31,2328.313,2382.9674,2394.2162,2321.7157,2367.6835,-39.3705,-1.6628,41702183.69,166318167.81512
399006.SZ,2025-08-01,2322.6268,2323.9212,2348.0151,2304.3856,2328.313,-5.6862,-0.2442,33473737.71,128526537.51936
399006.SZ,2025-08-04,2334.323,2307.3731,2334.43,2304.483,2322.6268,11.6962,0.5036,29185006.41,108433416.65878
399006.SZ,2025-08-05,2343.3757,2349.4357,2350.9964,2323.7393,2334.323,9.0527,0.3878,27968781.62,108244713.95981
399006.SZ,2025-08-06,2358.9547,2335.95,2359.823,2335.95,2343.3757,15.579,0.6648,29054439.29,107163003.39903
399006.SZ,2025-08-07,2342.8609,2359.423,2372.6829,2322.8051,2358.9547,-16.0938,-0.6822,31117024.68,123313208.65919
399006.SZ,2025-08-08,2333.959,2338.2485,2353.9876,2330.0105,2342.8609,-8.9019,-0.38,29088134.41,107736548.41754
399006.SZ,2025-08-11,2379.8165,2336.9289,2384.8598,2336.9289,2333.959,45.8575,1.9648,33245201.04,133935192.54715
399006.SZ,2025-08-12,2409.3983,2381.163,2409.3983,2368.8134,2379.8165,29.5818,1.243,32481952.73,138123856.19527
399006.SZ,2025-08-13,2496.5041,2417.4693,2497.8571,2414.482,2409.3983,87.1058,3.6153,42558574.83,181829594.48058
399006.SZ,2025-08-14,2469.6554,2496.6268,2513.3697,2463.8579,2496.5041,-26.8487,-1.0755,41998871.52,170307994.47235
399006.SZ,2025-08-15,2534.2187,2464.6655,2541.8941,2464.6655,2469.6554,64.5633,2.6143,50550336.64,200867658.66686
399006.SZ,2025-08-18,2606.2018,2549.5518,2633.8613,2529.2489,2534.2187,71.9831,2.8404,64024723.78,258230377.10686
399006.SZ,2025-08-19,2601.7431,2596.578,2634.597,2586.9482,2606.2018,-4.4587,-0.1711,47830673.97,211426754.44803
399006.SZ,2025-08-20,2607.6534,2572.0054,2608.0001,2547.4398,2601.7431,5.9103,0.2272,41629170.98,185214088.11056
399006.SZ,2025-08-21,2595.4654,2614.9146,2626.3735,2582.0538,2607.6534,-12.188,-0.4674,38792232.3,174607154.29527
399006.SZ,2025-08-22,2682.5529,2587.5294,2683.9005,2587.5294,2595.4654,87.0875,3.3554,51140299.86,229166051.66372
399006.SZ,2025-08-25,2762.9906,2720.2816,2782.0143,2700.2783,2682.5529,80.4377,2.9986,62965586.01,286791482.24446
399006.SZ,2025-08-26,2742.1268,2747.1071,2773.2402,2726.7236,2762.9906,-20.8638,-0.7551,48542177.83,234958453.09876
399006.SZ,2025-08-27,2723.1985,2747.5002,2822.2711,2723.1985,2742.1268,-18.9283,-0.6903,63723461.53,305015973.48021
399006.SZ,2025-08-28,2827.172,2707.3391,2827.172,2707.3391,2723.1985,103.9735,3.8181,56139966.61,290105409.18122
399006.SZ,2025-08-29,2890.1252,2828.0124,2933.9925,2809.3184,2827.172,62.9532,2.2267,54470682.28,298558028.08546
399006.SZ,2025-09-01,2956.3748,2914.6423,2958.1407,2886.73,2890.1252,66.2496,2.2923,48910622.12,278833586.88171
399006.SZ,2025-09-02,2872.2224,2951.0301,2979.7346,2839.9233,2956.3748,-84.1524,-2.8465,53803286.81,312334166.92899
399006.SZ,2025-09-03,2899.3728,2882.8425,2926.7759,2859.5067,2872.2224,27.1504,0.9453,46850485.1,274918640.31473
399006.SZ,2025-09-04,2776.2483,2933.6778,2956.4106,2741.0758,2899.3728,-123.1245,-4.2466,53021224.21,322826691.81419
399006.SZ,2025-09-05,2958.181,2789.9086,2962.4668,2775.1704,2776.2483,181.9327,6.5532,49485029.43,305801550.71771
399006.SZ,2025-09-08,2933.2464,2964.4285,2964.4285,2883.2612,2958.181,-24.9346,-0.8429,51082357.88,314234047.65695
399006.SZ,2025-09-09,2867.9684,2901.2894,2924.575,2843.6716,2933.2464,-65.278,-2.2255,38646701.61,223233934.09651
399006.SZ,2025-09-10,2904.2687,2890.0521,2926.1606,2860.2618,2867.9684,36.3003,1.2657,36797044.48,237543235.90681
399006.SZ,2025-09-11,3053.7488,2917.7672,3053.7488,2899.8301,2904.2687,149.4801,5.1469,50395836.73,302212450.88332
399006.SZ,2025-09-12,3020.4229,3024.1036,3056.5264,3009.9022,3053.7488,-33.3259,-1.0913,45815079.75,271801055.47238
399006.SZ,2025-09-15,3066.1804,3052.0587,3106.8793,3044.6874,3020.4229,45.7575,1.5149,43179869.66,259964131.81074
399006.SZ,2025-09-16,3087.0396,3072.3017,3089.7815,3020.6281,3066.1804,20.8592,0.6803,43875278.61,249126068.78013
399006.SZ,2025-09-17,3147.3454,3085.7103,3152.308,3064.7685,3087.0396,60.3058,1.9535,46106930.7,256511014.54055
399006.SZ,2025-09-18,3095.8512,3119.7738,3168.6787,3051.2987,3147.3454,-51.4942,-1.6361,58503914.14,325911837.54854
399006.SZ,2025-09-19,3091.0035,3098.2775,3128.3795,3072.7623,3095.8512,-4.8477,-0.1566,40432501.23,230848074.70173
399006.SZ,2025-09-22,3107.8873,3093.9678,3107.8873,3053.354,3091.0035,16.8838,0.5462,36306508.34,208792739.66992
399006.SZ,2025-09-23,3114.553,3139.4999,3157.0232,3041.4607,3107.8873,6.6657,0.2145,46010121.05,273488440.09099
399006.SZ,2025-09-24,3185.5709,3089.9039,3185.8367,3085.7011,3114.553,71.0179,2.2802,45555694.96,270219890.64736
399006.SZ,2025-09-25,3235.7648,3167.7518,3266.0031,3161.076,3185.5709,50.1939,1.5757,45817169.74,287539564.03677
399006.SZ,2025-09-26,3151.5299,3222.187,3251.8821,3150.8433,3235.7648,-84.2349,-2.6032,37212192.46,231865977.71324
399006.SZ,2025-09-29,3238.0119,3165.065,3259.4197,3164.804,3151.5299,86.482,2.7441,44071883.72,265855338.90461
399006.SZ,2025-09-30,3238.1603,3239.3262,3279.0176,3218.6927,3238.0119,0.1484,0.0046,40226811.36,257341469.63847
399006.SZ,2025-10-09,3261.822,3251.0398,3322.4437,3243.7058,3238.1603,23.6617,0.7307,48495936.37,286332527.97533
399006.SZ,2025-10-10,3113.2621,3230.4568,3235.8553,3097.6347,3261.822,-148.5599,-4.5545,45032468.32,268818628.72941
399006.SZ,2025-10-13,3078.7623,2975.0258,3096.4008,2975.0258,3113.2621,-34.4998,-1.1082,40663025.42,240260936.68069
399006.SZ,2025-10-14,2955.9831,3120.9952,3124.8337,2943.583,3078.7623,-122.7792,-3.9879,40923166.1,251349447.58498
399006.SZ,2025-10-15,3025.8673,2964.5166,3030.5856,2927.5146,2955.9831,69.8842,2.3642,32571584.26,193723285.15831
399006.SZ,2025-10-16,3037.4423,3008.3723,3068.838,3001.1047,3025.8673,11.575,0.3825,31186846.27,188298951.42187
399006.SZ,2025-10-17,2935.3698,3026.3981,3042.2862,2932.6835,3037.4423,-102.0725,-3.3605,30547126.41,181738818.68371
399006.SZ,2025-10-20,2993.4549,3007.2079,3042.1995,2970.1883,2935.3698,58.0851,1.9788,25500999.48,181101704.70736
399006.SZ,2025-10-21,3083.7157,3017.7725,3101.9319,2994.7596,2993.4549,90.2608,3.0153,28168531.58,204389318.62346
399006.SZ,2025-10-22,3059.3192,3061.267,3089.764,3044.0446,3083.7157,-24.3965,-0.7911,22169929.25,151305865.19238
399006.SZ,2025-10-23,3062.1626,3050.7359,3066.4603,3003.3363,3059.3192,2.8434,0.0929,23711814.41,145933802.73137
399006.SZ,2025-10-24,3171.5687,3087.6283,3171.5687,3082.0644,3062.1626,109.4061,3.5728,29690903.96,215685708.70494
399006.SZ,2025-10-27,3234.4546,3227.179,3241.9506,3179.6234,3171.5687,62.8859,1.9828,36810286.13,260282684.75173
399006.SZ,2025-10-28,3229.5754,3205.4421,3282.3283,3205.0502,3234.4546,-4.8792,-0.1509,31461266.16,229359284.52255
399006.SZ,2025-10-29,3324.2713,3263.9836,3324.2713,3258.6886,3229.5754,94.6959,2.9321,37209762.74,271889389.89823
399006.SZ,2025-10-30,3263.0222,3313.7878,3331.8594,3259.2101,3324.2713,-61.2491,-1.8425,44118224.85,289539735.88128
399006.SZ,2025-10-31,3187.5327,3260.2637,3281.6616,3187.5327,3263.0222,-75.4895,-2.3135,42705454.25,254323868.40072
399006.SZ,2025-11-03,3196.8709,3179.2966,3199.3986,3120.851,3187.5327,9.3382,0.293,38775641.07,209628726.58414
399006.SZ,2025-11-04,3134.0895,3190.404,3207.1021,3111.0196,3196.8709,-62.7814,-1.9638,32549498.67,176326553.78394
399006.SZ,2025-11-05,3166.2312,3068.9486,3179.9292,3068.9486,3134.0895,32.1417,1.0256,32329493.11,171223477.05504
399006.SZ,2025-11-06,3224.6238,3185.1284,3236.6786,3177.603,3166.2312,58.3926,1.8442,32850891.37,192614665.54442
399006.SZ,2025-11-07,3208.2057,3201.2585,3240.345,3178.802,3224.6238,-16.4181,-0.5091,31054431.09,177530844.69171
399006.SZ,2025-11-10,3178.8272,3221.9327,3236.6054,3138.3027,3208.2057,-29.3785,-0.9157,35251206.81,203293905.19958
399006.SZ,2025-11-11,3134.3159,3197.1225,3209.8897,3130.5753,3178.8272,-44.5113,-1.4002,30556271.7,181998399.2644
399006.SZ,2025-11-12,3122.027,3122.5768,3137.5823,3078.6435,3134.3159,-12.2889,-0.3921,28773059.76,175015591.61557
399006.SZ,2025-11-13,3201.7536,3119.0856,3209.7026,3107.623,3122.027,79.7266,2.5537,31409766.54,188637527.55882
399006.SZ,2025-11-14,3111.507,3145.9236,3167.1052,3111.507,3201.7536,-90.2466,-2.8187,29816540.52,159787110.94435
399006.SZ,2025-11-17,3105.2034,3097.3354,3120.7346,3082.2344,3111.507,-6.3036,-0.2026,32237219.2,165118680.08389
399006.SZ,2025-11-18,3069.2196,3089.3817,3115.3064,3052.636,3105.2034,-35.9838,-1.1588,35026940.08,167886392.95749
399006.SZ,2025-11-19,3076.8452,3065.165,3113.222,3061.9631,3069.2196,7.6256,0.2485,28215699.16,141586424.62509
399006.SZ,2025-11-20,3042.3406,3131.8382,3137.0651,3039.3766,3076.8452,-34.5046,-1.1214,27182577.61,152901403.58518
399006.SZ,2025-11-21,2920.0778,2979.3711,2996.7938,2920.0389,3042.3406,-122.2628,-4.0187,36818037.1,177802407.99437
399006.SZ,2025-11-24,2929.0429,2946.456,2951.4342,2892.2743,2920.0778,8.9651,0.307,36084604.4,159742076.31761
399006.SZ,2025-11-25,2980.9335,2970.7312,3027.83,2961.9324,2929.0429,51.8906,1.7716,38027197.92,172159746.80118
399006.SZ,2025-11-26,3044.6945,2976.7049,3081.4907,2962.9922,2980.9335,63.761,2.139,34196015.44,191672371.26775
399006.SZ,2025-11-27,3031.2956,3041.2046,3113.4418,3027.305,3044.6945,-13.3989,-0.4401,30257169.98,173188219.46192
399006.SZ,2025-11-28,3052.5871,3029.9768,3067.76,3013.4936,3031.2956,21.2915,0.7024,28464849.14,147629395.49275
399006.SZ,2025-12-01,3092.4985,3060.5573,3093.9617,3037.6879,3052.5871,39.9114,1.3075,33868432.75,176210147.36649
399006.SZ,2025-12-02,3071.1487,3091.3693,3094.1765,3056.3621,3092.4985,-21.3498,-0.6904,28695746.24,142882655.58458
399006.SZ,2025-12-03,3036.7864,3078.8583,3105.304,3028.6962,3071.1487,-34.3623,-1.1189,27235488.57,155650156.67098
399006.SZ,2025-12-04,3067.4842,3037.0512,3075.4584,3016.5793,3036.7864,30.6978,1.0109,24407602.34,134688667.03019
399006.SZ,2025-12-05,3109.2974,3084.2174,3115.8141,3048.943,3067.4842,41.8132,1.3631,29276971.82,163227983.69083
399006.SZ,2025-12-08,3190.2688,3119.1512,3214.4775,3119.1512,3109.2974,80.9714,2.6042,34640462.77,216877792.45299
399006.SZ,2025-12-09,3209.6031,3183.6131,3235.5359,3175.5057,3190.2688,19.3343,0.606,28190808.98,193193138.97305
399006.SZ,2025-12-10,3209.0042,3201.3784,3220.2353,3143.4146,3209.6031,-0.5989,-0.0187,25555759.17,176082820.77367
399006.SZ,2025-12-11,3163.6746,3210.5458,3246.3173,3163.6746,3209.0042,-45.3296,-1.4126,29142276.46,192940139.23896
399006.SZ,2025-12-12,3194.3586,3172.7309,3203.2545,3137.6252,3163.6746,30.684,0.9699,33147868.8,220301757.67633
399006.SZ,2025-12-15,3137.8013,3157.3198,3184.6248,3135.6628,3194.3586,-56.5573,-1.7705,26162671.16,169359724.41239
399006.SZ,2025-12-16,3071.7619,3130.4279,3141.5785,3058.7925,3137.8013,-66.0394,-2.1046,24863795.81,156582141.67516
399006.SZ,2025-12-17,3175.9081,3072.6211,3181.689,3072.6211,3071.7619,104.1462,3.3904,29302910.32,186380713.29602
399006.SZ,2025-12-18,3107.0646,3138.6571,3154.0656,3107.0646,3175.9081,-68.8435,-2.1677,25270250.25,156626843.90838
399006.SZ,2025-12-19,3122.238,3134.8043,3157.2902,3112.0318,3107.0646,15.1734,0.4884,24919743.98,141006028.67504
399006.SZ,2025-12-22,3191.9849,3153.7493,3197.9406,3153.7493,3122.238,69.7469,2.2339,26084925.78,180767013.62239
399006.SZ,2025-12-23,3205.0108,3196.3087,3227.0674,3184.5343,3191.9849,13.0259,0.4081,25158992.38,165215064.98836
399006.SZ,2025-12-24,3229.5772,3207.4095,3234.9985,3193.9671,3205.0108,24.5664,0.7665,26460457.06,171507559.61648
399006.SZ,2025-12-25,3239.343,3232.9712,3249.105,3200.4919,3229.5772,9.7658,0.3024,28489693.63,174504511.11726
399006.SZ,2025-12-26,3243.8757,3232.4093,3268.6947,3219.1305,3239.343,4.5327,0.1399,32503639.79,195962554.94188
399006.SZ,2025-12-29,3222.6108,3237.7735,3250.0881,3208.0763,3243.8757,-21.2649,-0.6555,30641275.59,187827199.99703
399006.SZ,2025-12-30,3242.9046,3208.3233,3251.1331,3207.7296,3222.6108,20.2938,0.6297,36813547.04,192881676.0338
399006.SZ,2025-12-31,3203.1717,3247.7367,3254.8897,3198.2482,3242.9046,-39.7329,-1.2252,36505728.76,183658541.47207
399006.SZ,2026-01-05,3294.5513,3229.933,3295.2856,3229.933,3203.1717,91.3796,2.8528,51998573.21,261407346.70351
399006.SZ,2026-01-06,3319.2914,3279.8114,3321.4356,3265.7296,3294.5513,24.7401,0.7509,58725170.66,297841505.43849
399006.SZ,2026-01-07,3329.6926,3331.3408,3351.2156,3298.5528,3319.2914,10.4012,0.3134,51913249.41,277889356.23683
399006.SZ,2026-01-08,3302.3067,3308.7377,3328.955,3285.1638,3329.6926,-27.3859,-0.8225,48454667.85,252691692.09384
399006.SZ,2026-01-09,3327.8127,3279.3763,3330.0119,3269.9928,3302.3067,25.506,0.7724,59361323.26,301179926.5912
399006.SZ,2026-01-12,3388.3407,3323.6365,3398.0502,3282.3886,3327.8127,60.528,1.8189,74483702.28,384563843.79356
399006.SZ,2026-01-13,3321.8886,3390.6885,3416.8373,3307.6305,3388.3407,-66.4521,-1.9612,74355431.51,361131399.07267
399006.SZ,2026-01-14,3349.1376,3333.1714,3403.9542,3308.6275,3321.8886,27.249,0.8203,78241383.76,387935600.56779
399006.SZ,2026-01-15,3367.9166,3318.1087,3372.4744,3309.062,3349.1376,18.779,0.5607,56912195.93,307004638.77102
399006.SZ,2026-01-16,3361.0167,3394.3463,3407.8623,3354.649,3367.9166,-6.8999,-0.2049,54700127.35,312015622.64557
399006.SZ,2026-01-19,3337.6081,3340.9356,3383.7891,3326.1342,3361.0167,-23.4086,-0.6965,41405956.84,246590978.92238
399006.SZ,2026-01-20,3277.979,3340.4559,3347.9444,3257.4351,3337.6081,-59.6291,-1.7866,43396944.92,246868155.67188
399006.SZ,2026-01-21,3295.5226,3270.1272,3329.5021,3270.1272,3277.979,17.5436,0.5352,38040269.59,227900940.38716
399006.SZ,2026-01-22,3328.6471,3312.7513,3337.2721,3280.3168,3295.5226,33.1245,1.0051,37940185.39,253281128.43806
399006.SZ,2026-01-23,3349.5034,3334.0167,3349.5034,3316.6539,3328.6471,20.8563,0.6266,49217697.7,293450274.40576
399006.SZ,2026-01-26,3319.1489,3365.6058,3367.9919,3304.3556,3349.5034,-30.3545,-0.9062,59196541.84,295658022.2583
399006.SZ,2026-01-27,3342.5991,3316.0215,3366.6827,3277.2572,3319.1489,23.4502,0.7065,50221052.46,280609494.30512
399006.SZ,2026-01-28,3323.5619,3359.7883,3361.1404,3301.0479,3342.5991,-19.0372,-0.5695,51138899.63,286007321.51219
399006.SZ,2026-01-29,3304.5103,3322.4798,3356.4849,3298.5882,3323.5619,-19.0516,-0.5732,59295679.06,297815147.89648
399006.SZ,2026-01-30,3346.3552,3301.5407,3369.2448,3255.6481,3304.5103,41.8449,1.2663,51490172.73,294352918.23418
399006.SZ,2026-02-02,3264.1109,3368.1414,3390.2994,3262.1218,3346.3552,-82.2443,-2.4577,46813391.3,292971147.49145
399006.SZ,2026-02-03,3324.8923,3318.06,3332.4771,3249.061,3264.1109,60.7814,1.8621,45597120.98,271986553.8759
399006.SZ,2026-02-04,3311.5148,3298.3221,3318.898,3244.7107,3324.8923,-13.3775,-0.4023,47547035.45,277520488.35993
399006.SZ,2026-02-05,3260.2783,3277.7213,3288.3754,3238.7843,3311.5148,-51.2365,-1.5472,43166401.98,218374095.3799
399006.SZ,2026-02-06,3236.4643,3222.8835,3288.0317,3199.1443,3260.2783,-23.814,-0.7304,39589999.97,216768330.70784
399006.SZ,2026-02-09,3332.7695,3299.5974,3340.3292,3276.5672,3236.4643,96.3052,2.9756,43294946.64,242113215.36956
399006.SZ,2026-02-10,3320.537,3321.8839,3348.4827,3320.537,3332.7695,-12.2325,-0.367,42761646.55,200689647.86657
399006.SZ,2026-02-11,3284.7352,3312.6434,3324.1824,3284.2393,3320.537,-35.8018,-1.0782,40250738.84,204202679.59065
399006.SZ,2026-02-12,3328.0624,3294.5706,3334.3536,3292.6766,3284.7352,43.3272,1.319,42516957.83,223800479.68776
399006.SZ,2026-02-13,3275.9584,3309.4294,3323.3692,3275.2892,3328.0624,-52.104,-1.5656,37588250.09,195089533.08982
399006.SZ,2026-02-24,3308.2648,3331.7946,3343.2439,3292.5006,3275.9584,32.3064,0.9862,38685188.28,221642504.09982
399006.SZ,2026-02-25,3354.819,3313.0925,3363.1817,3302.7587,3308.2648,46.5542,1.4072,40529126.38,230894297.93559
399006.SZ,2026-02-26,3344.9823,3346.7428,3351.5725,3310.5542,3354.819,-9.8367,-0.2932,40638653.78,258086354.86411
399006.SZ,2026-02-27,3310.3049,3303.9765,3326.5846,3292.892,3344.9823,-34.6774,-1.0367,40345682.19,243783343.23436
