月份,交易日期,总存款(亿),企业存款(亿),储蓄存款(亿),A股总市值(亿),总存款比例,企业存款比例,储蓄存款比例
2025-12,2025-12-31,3286428.75,805593.99,1658934.64,900460.07,0.274,1.1178,0.5428
2025-11,2025-11-28,3269626.94,793387.29,1633084.44,882254.12,0.2698,1.112,0.5402
2025-10,2025-10-31,3255492.03,786934.07,1626359.04,897272.37,0.2756,1.1402,0.5517
2025-09,2025-09-30,3249387.56,797743.11,1639847.95,880933.89,0.2711,1.1043,0.5372
2025-08,2025-08-29,3227265.78,788593.47,1610211.68,875295.86,0.2712,1.1099,0.5436
2025-07,2025-07-31,3206702.75,785596.5,1609117.49,810698.12,0.2528,1.032,0.5038
2025-06,2025-06-30,3201739.92,800190.99,1620254.78,781479.75,0.2441,0.9766,0.4823
2025-05,2025-05-30,3169624.01,782413.73,1595494.14,759485.99,0.2396,0.9707,0.476
2025-04,2025-04-30,3147793.38,786590.2,1590795.67,743954.53,0.2363,0.9458,0.4677
2025-03,2025-03-31,3152232.44,799857.08,1604706.8,756822.16,0.2401,0.9462,0.4716
2025-02,2025-02-28,3109697.9,771491.53,1573761.53,753453.19,0.2423,0.9766,0.4788
2025-01,2025-01-27,3065512.47,780426.68,1567675.44,737504.26,0.2406,0.945,0.4704
2024-12,2024-12-31,3022537.95,783649.1,1512509.36,760456.14,0.2516,0.9704,0.5028
2024-11,2024-11-29,3036481.15,765605.73,1490578.97,754714.43,0.2485,0.9858,0.5063
2024-10,2024-10-31,3014771.89,758191.12,1482729.23,744134.45,0.2468,0.9815,0.5019
2024-09,2024-09-30,3008822.65,765460.47,1488435.63,756992.55,0.2516,0.9889,0.5086
2024-08,2024-08-30,2971425.35,757763.46,1466414.13,644848.42,0.217,0.851,0.4397
2024-07,2024-07-31,2949199.49,754326.29,1459300.16,666750.52,0.2261,0.8839,0.4569
2024-06,2024-06-28,2957172.45,772129.73,1462619.53,673251.61,0.2277,0.8719,0.4603
2024-05,2024-05-31,2932599.27,762052.72,1441205.29,700343.64,0.2388,0.919,0.4859
2024-04,2024-04-30,2915852.23,770124.67,1437036.59,704430.25,0.2416,0.9147,0.4902
2024-03,2024-03-29,2955054.17,788817.72,1455456.16,689987.36,0.2335,0.8747,0.4741
2024-02,2024-02-29,2906999.38,768064.82,1427229.47,684089.33,0.2353,0.8907,0.4793
2024-01,2024-01-31,2897428.5,797998.43,1395218.75,632672.55,0.2184,0.7928,0.4535
2023-12,2023-12-29,2842623.3,787756.22,1369894.58,674960.49,0.2374,0.8568,0.4927
2023-11,2023-11-30,2841754.85,784540.77,1350169.15,687379.58,0.2419,0.8762,0.5091
2023-10,2023-10-31,2816483.21,782053.88,1341080.4,684906.11,0.2432,0.8758,0.5107
2023-09,2023-09-28,2810037.37,790706.16,1347449.22,705712.13,0.2511,0.8925,0.5237
2023-08,2023-08-31,2787610.76,788738.51,1322170.58,707845.05,0.2539,0.8974,0.5354
2023-07,2023-07-31,2774993.33,779848.68,1314293.53,746679.16,0.2691,0.9575,0.5681
