date,O/N,1W,2W,1M,3M,6M,9M,1Y
2023-02-27,1.817,2.177,2.527,2.287,2.423,2.535,2.621,2.692
2023-02-28,2.083,2.352,2.661,2.292,2.437,2.55,2.629,2.704
2023-03-01,2.087,2.09,2.104,2.294,2.45,2.559,2.636,2.711
2023-03-02,1.62,1.993,1.956,2.294,2.459,2.567,2.642,2.718
2023-03-03,1.291,1.931,1.927,2.295,2.466,2.574,2.647,2.725
2023-03-06,1.231,1.816,1.878,2.299,2.469,2.578,2.65,2.732
2023-03-07,1.436,1.873,2.022,2.314,2.476,2.584,2.654,2.738
2023-03-08,1.648,1.915,2.017,2.333,2.486,2.588,2.659,2.745
2023-03-09,1.373,1.921,1.9655,2.35,2.491,2.594,2.667,2.75
2023-03-10,1.829,2.013,2.08,2.364,2.497,2.596,2.67,2.75
2023-03-13,1.614,1.959,2.009,2.371,2.498,2.598,2.671,2.749
2023-03-14,1.829,2.055,2.066,2.378,2.499,2.598,2.672,2.746
2023-03-15,2.109,2.089,2.18,2.384,2.5,2.598,2.673,2.745
2023-03-16,2.294,2.177,2.234,2.39,2.5,2.6,2.669,2.744
2023-03-17,2.262,2.086,2.262,2.397,2.5,2.598,2.664,2.74
2023-03-20,2.273,2.163,2.359,2.397,2.492,2.582,2.646,2.723
2023-03-21,2.459,2.198,2.461,2.398,2.487,2.566,2.63,2.699
2023-03-22,2.024,2.078,2.26,2.396,2.479,2.557,2.621,2.687
2023-03-23,1.558,1.937,2.489,2.399,2.476,2.554,2.614,2.683
2023-03-24,1.288,1.703,2.55,2.399,2.473,2.548,2.606,2.678
2023-03-27,1.106,2.117,2.545,2.4,2.468,2.547,2.606,2.676
2023-03-28,1.121,2.028,2.613,2.402,2.464,2.544,2.604,2.674
2023-03-29,0.901,2.157,2.656,2.4,2.456,2.542,2.601,2.671
2023-03-30,0.836,2.144,2.585,2.4,2.454,2.541,2.6,2.667
2023-03-31,1.838,2.215,2.622,2.4,2.448,2.539,2.599,2.666
2023-04-03,1.354,1.924,1.985,2.364,2.429,2.522,2.593,2.66
2023-04-04,1.103,1.87,1.897,2.343,2.423,2.516,2.587,2.654
2023-04-06,1.34,1.978,1.946,2.33,2.414,2.511,2.586,2.648
2023-04-07,1.374,1.997,2.046,2.322,2.41,2.507,2.586,2.649
2023-04-10,1.324,2.004,2.057,2.313,2.414,2.508,2.587,2.65
2023-04-11,1.421,1.985,2.114,2.312,2.415,2.508,2.587,2.65
2023-04-12,1.39,1.997,2.045,2.311,2.418,2.509,2.587,2.65
2023-04-13,1.326,1.998,2.012,2.307,2.421,2.509,2.588,2.65
2023-04-14,1.605,2.0,2.015,2.306,2.422,2.508,2.588,2.65
