trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260813,000006.SZ,房地产开发,深振业Ａ,7.7,10.0,284308688.0,,10394883314.2,10394961808.0,2.88,36384579.0,132727,132727,0,1/1,1.0,U
20260813,000593.SZ,燃气Ⅱ,德龙汇能,27.8,10.01,978570816.0,,9965832098.2,9969942022.4,10.25,55467644.0,104218,104218,0,6/10,2.0,U
20260813,000668.SZ,房地产开发,荣丰控股,24.06,9.91,321186208.0,,3533015873.4,3533015873.4,9.13,,93627,,7,0/0,,Z
20260813,000692.SZ,电力,惠天热电,4.88,9.91,211175964.0,,2600224922.88,2600224922.88,8.55,29426400.0,93654,93654,0,3/6,2.0,U
20260813,000695.SZ,电池,滨海能源,14.39,10.02,238451984.0,,3191862290.21,3334913280.21,7.72,17070857.0,130415,130415,0,1/1,1.0,U
20260813,000779.SZ,工程咨询,甘咨询,10.73,-9.98,1285041792.0,62973297.0,4987014343.65,4987620062.88,24.99,15028438.0,,145424,0,,1.0,D
20260813,000802.SZ,影视院线,北京文化,6.26,10.02,851181584.0,,4479305471.3,4481535602.56,19.01,167948914.0,92500,93012,1,4/4,4.0,U
20260813,000887.SZ,汽车零部件,中鼎股份,23.69,9.98,1823019824.0,,31137439703.52,31187642035.36,5.86,358524270.0,93000,143642,1,2/2,2.0,U
20260813,000936.SZ,化学纤维,华西股份,6.34,10.07,164090241.0,,5616525716.58,5617321659.2,2.92,128980490.0,93000,93000,0,2/2,2.0,U
20260813,000938.SZ,IT服务Ⅱ,紫光股份,39.6,7.03,16460898048.0,,113258877890.4,113259162931.2,14.61,,132021,,1,0/0,,Z
20260813,000972.SZ,农产品加,中基健康,3.82,10.09,60160346.0,,2946303271.78,2946303290.88,2.09,11397940.0,94224,94224,0,1/1,1.0,U
20260813,000977.SZ,计算机设,浪潮信息,79.46,5.92,11947134464.0,,116554455145.84,116685155085.76,10.26,,133354,,1,0/0,,Z
20260813,001260.SZ,汽车零部件,坤泰股份,21.03,9.99,40159918.0,,2418450000.0,2418450000.0,1.66,292252879.0,92500,92500,0,2/2,2.0,U
20260813,002023.SZ,航空装备,海特高新,10.77,2.77,744319488.0,,7906906226.37,7979064784.8,9.21,,102842,,1,0/0,,Z
20260813,002047.SZ,装修装饰,宝鹰股份,4.2,7.14,958524992.0,,6367867535.4,6368244489.6,15.67,,141900,,5,2/3,,Z
20260813,002066.SZ,装修建材,瑞泰科技,21.93,9.98,220075324.0,,5065830000.0,5151510510.0,4.44,74024715.0,103006,103006,0,1/1,1.0,U
20260813,002081.SZ,装修装饰,金 螳 螂,4.81,10.07,131250864.0,,12718810580.84,12772106977.76,1.03,314696741.0,92500,92500,0,2/2,2.0,U
20260813,002131.SZ,通用设备,利欧股份,5.56,0.72,9179463936.0,,32552679404.24,37651090216.96,27.06,,95324,,1,0/0,,Z
20260813,002172.SZ,医疗服务,澳洋健康,4.13,10.13,96348778.0,,3160031214.9,3162474679.84,3.05,100492390.0,92500,92500,0,2/2,2.0,U
20260813,002174.SZ,游戏Ⅱ,游族网络,13.38,10.03,413420400.0,,13102485981.96,13109870644.8,3.18,157483938.0,93118,93118,0,1/1,1.0,U
20260813,002219.SZ,医疗服务,新里程,2.5,10.13,599082640.0,,8179678550.0,8629804400.0,7.56,63616952.0,100245,100245,0,1/1,1.0,U
20260813,002229.SZ,IT服务Ⅱ,鸿博股份,13.65,5.73,3084161648.0,,6731581624.95,6773013811.2,44.92,,93012,,5,2/3,,Z
20260813,002322.SZ,软件开发,理工能科,11.86,10.02,63711374.0,,4167377817.94,4335161700.48,1.53,78142527.0,92500,92500,0,1/1,1.0,U
20260813,002329.SZ,饮料乳品,皇氏集团,4.62,10.0,719355840.0,,3010359308.88,3845706406.08,24.27,55585530.0,92500,102530,4,4/4,4.0,U
20260813,002330.SZ,食品加工,得利斯,4.15,4.27,229280017.0,,2635869138.5,2636558478.4,8.64,,105121,,1,0/0,,Z
20260813,002364.SZ,其他电源,中恒电气,43.0,3.39,3040717328.0,,23998461680.0,24233293280.0,12.22,,94554,,2,0/0,,Z
20260813,002396.SZ,通信设备,星网锐捷,32.38,9.99,3500496320.0,,24525101132.28,24626750435.84,14.67,45707608.0,103224,144151,3,1/1,1.0,U
20260813,002400.SZ,广告营销,省广集团,7.95,8.46,3317475760.0,,13723008713.1,13859530231.2,24.45,,93654,,3,0/0,,Z
20260813,002437.SZ,化学制药,誉衡药业,4.25,10.1,1954086352.0,,8925653866.75,9476939544.0,22.9,68343565.0,95136,95154,1,4/5,2.0,U
20260813,002474.SZ,IT服务Ⅱ,榕基软件,6.86,3.16,825078576.0,,3627788597.02,4268292000.0,21.71,,93009,,2,0/0,,Z
20260813,002484.SZ,元件,江海股份,66.61,2.12,3803656720.0,,54651657571.65,56653399376.96,6.66,,93115,,1,0/0,,Z
20260813,002491.SZ,通信设备,通鼎互联,18.94,0.53,6541519616.0,,22282320416.74,23296095754.24,28.08,,93003,,1,1/2,,Z
20260813,002543.SZ,厨卫电器,万和电气,7.33,10.06,141613930.0,,4849660680.33,5450588000.0,3.04,20987285.0,132533,132600,1,1/1,1.0,U
20260813,002575.SZ,综合Ⅱ,群兴玩具,6.08,9.95,132855788.0,,3552699040.0,3748320000.0,3.74,119163859.0,92500,92500,0,1/1,1.0,U
20260813,002644.SZ,中药Ⅱ,佛慈制药,8.8,10.0,221910328.0,,4493781600.0,4493781670.4,5.03,15894560.0,103618,103739,1,1/1,1.0,U
20260813,002682.SZ,物流,龙洲股份,5.12,1.79,742050240.0,,2879327201.28,2879327191.04,24.77,,93003,,3,1/2,,Z
20260813,002706.SZ,电网设备,良信股份,9.99,10.02,669327440.0,,9134668088.1,11220018989.76,7.49,47013139.0,101748,102848,1,1/1,1.0,U
20260813,002724.SZ,照明设备,海洋王,6.16,10.0,132488055.0,,3497494628.32,4752427680.0,3.93,47744065.0,140048,140048,0,1/1,1.0,U
20260813,002827.SZ,化学制品,高争民爆,55.1,-10.0,1257910576.0,56769529.0,15207529747.5,15265234600.0,7.87,19367870.0,,145621,2,,1.0,D
20260813,002851.SZ,其他电源,麦格米特,131.86,4.93,5974825728.0,,64834127626.92,77139465014.72,8.94,,93527,,4,0/0,,Z
20260813,002921.SZ,汽车零部件,联诚精密,24.63,10.0,223844508.0,,3163554291.9,3669134228.01,7.31,65391418.0,112109,112109,0,1/1,1.0,U
20260813,003032.SZ,教育,传智教育,11.62,-9.99,1118386496.0,2006338249.0,3305676284.96,4676439996.48,32.88,43718971.0,,143530,2,,1.0,D
20260813,300333.SZ,计算机设,兆日科技,10.64,19.95,33540153.0,,3562059912.88,3575040000.0,0.94,181695343.0,92500,92500,0,2/2,2.0,U
20260813,300404.SZ,医疗服务,博济医药,14.45,20.02,822925504.0,,4125700593.4,5574072240.8,21.43,94091247.0,95733,95733,0,1/1,1.0,U
20260813,300534.SZ,中药Ⅱ,陇神戎发,18.92,19.97,1730725296.0,,5714814152.96,5739287551.36,34.11,17417600.0,105515,105515,0,1/1,1.0,U
20260813,300603.SZ,通信服务,立昂技术,9.5,18.31,669213248.0,,3552346438.0,4415583128.0,18.84,,93327,,2,0/0,,Z
20260813,300862.SZ,通用设备,蓝盾光电,39.41,20.01,410157808.0,,5969472385.87,7275791517.82,6.87,1038104524.0,92500,92500,0,4/4,4.0,U
20260813,300907.SZ,电机Ⅱ,康平科技,48.62,15.05,347534176.0,,4667520000.0,4667520000.0,7.62,,130503,,2,0/0,,Z
20260813,300937.SZ,医药商业,药易购,31.7,19.98,553077440.0,,2056194569.4,3032633819.4,29.43,63729680.0,111318,111318,0,1/1,1.0,U
20260813,301025.SZ,出版,读客文化,9.76,8.44,396819040.0,,2704991222.4,3907019822.08,14.26,,95321,,1,0/0,,Z
20260813,301060.SZ,医疗服务,兰卫医学,11.96,19.96,426154368.0,,4307590227.72,4790183415.68,10.65,50473627.0,130412,130412,0,1/1,1.0,U
20260813,301077.SZ,化学制品,星华新材,24.61,13.67,290346752.0,,2352012252.44,4189796315.37,12.44,,94651,,1,0/0,,Z
