ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
600221.SH,20260813,安隆(天津)航空租赁有限公司,C,DE,66869300.0,0.1561,97924348.0,0.2266,,97924348.0
600221.SH,20260813,天津渤海四号租赁有限公司,C,DE,20000000.0,0.0467,36214128.0,0.0838,,36214128.0
300599.SZ,20260813,梁大军,G,DE,7500.0,0.0024,0.0,,12.8653,22500.0
300599.SZ,20260813,梁大军,G,DE,7500.0,0.0024,0.0,,12.8653,22500.0
688685.SH,20260813,伊犁苏新投资基金合伙企业(有限合伙),C,DE,248160.0,0.169,3180576.0,2.1658,53.6345,3180576.0
688685.SH,20260813,南京道丰投资管理中心(普通合伙),C,DE,6800.0,0.0046,48532.0,0.033,53.4124,48532.0
688685.SH,20260813,苏州至辉中安创业投资合伙企业(有限合伙),C,DE,497454.0,0.3387,0.0,,48.9715,0.0
600613.SH,20260813,张之君,P,DE,5340700.0,1.1142,9021650.0,1.6892,,9021650.0
688221.SH,20260813,CHANGJIN WANG,P,DE,2330767.0,0.6222,18728733.0,4.9999,,18728733.0
002824.SZ,20260813,霍润,P,DE,500000.0,0.2211,20392787.0,9.0163,,20392787.0
002824.SZ,20260813,霍润,P,DE,500000.0,0.2211,19892787.0,8.7953,18.04,19892787.0
603072.SH,20260813,南通元龙创业投资合伙企业(有限合伙),C,DE,1648300.0,1.3058,9054990.0,7.1734,38.5573,9054990.0
688603.SH,20260813,宁波市睿兴二期股权投资合伙企业(有限合伙),C,DE,848591.0,1.7895,0.0,,146.7979,0.0
920906.BJ,20260813,宁波万舜投资管理合伙企业(有限合伙),C,DE,120000.0,0.3598,,,16.5564,1240000.0
688479.SH,20260813,上海屹赢友企业管理中心(有限合伙),C,DE,3623000.0,4.1873,4665000.0,5.3915,25.6835,4665000.0
688479.SH,20260813,上海烽赢宏企业管理中心(有限合伙),C,DE,2415000.0,2.7911,4212600.0,4.8687,25.6834,4212600.0
603382.SH,20260813,福建赢石创业投资合伙企业(有限合伙),C,DE,923100.0,0.7993,9062547.0,7.8473,,9062547.0
603209.SH,20260813,山东日盈投资有限公司,C,DE,281300.0,0.0875,1608600.0,0.5004,,1608600.0
000009.SZ,20260813,深圳市承兴投资有限公司,C,IN,23607594.0,0.9164,580799860.0,22.5464,,580799860.0
920571.BJ,20260813,薛勇,G,DE,649738.0,0.2194,,,10.0282,1949216.0
920571.BJ,20260813,何志强,G,DE,55725.0,0.0188,,,11.27,167175.0
002655.SZ,20260813,上海韦豪创芯投资管理有限公司,C,IN,1857500.0,0.5105,34132300.0,9.3805,,34132300.0
002826.SZ,20260813,周战,P,DE,658900.0,0.3567,8874925.0,4.8043,16.37,8874925.0
300599.SZ,20260813,梁大军,G,DE,7500.0,0.0024,0.0,,12.8653,22500.0
688479.SH,20260813,上海屹赢友企业管理中心(有限合伙),C,DE,3623000.0,4.1873,4665000.0,5.3915,25.6835,4665000.0
688479.SH,20260813,上海烽赢宏企业管理中心(有限合伙),C,DE,2415000.0,2.7911,4212600.0,4.8687,25.6834,4212600.0
688073.SH,20260813,舟山欣曦企业管理合伙企业(有限合伙),C,DE,82404.0,0.0907,2159651.0,2.3763,,2159651.0
688073.SH,20260813,吴波,P,DE,24515.0,0.027,723870.0,0.7965,,723870.0
688073.SH,20260813,舟山兰旦企业管理合伙企业(有限合伙),C,DE,475290.0,0.523,1660626.0,1.8272,,1660626.0
301370.SZ,20260813,泰康人寿保险有限责任公司-传统-普通保险产品-019L-CT001深,C,DE,2677400.0,0.5689,33739546.0,7.1695,,33739546.0
301370.SZ,20260813,泰康人寿保险有限责任公司-分红-个人分红-019L-FH002深,C,DE,1337900.0,0.2843,16870573.0,3.5849,,16870573.0
301370.SZ,20260813,泰康人寿保险有限责任公司-分红-团体分红-019L-FH001深,C,DE,446200.0,0.0948,5623291.0,1.1949,,5623291.0
300321.SZ,20260813,华盛百利投资发展(北京)有限公司,C,DE,6000.0,0.0068,5878323.0,6.6275,,5878323.0
