ts_code,trade_date,name,trade_market,reason,period
603191.SH,20260813,望变电气,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
001260.SZ,20260813,坤泰股份,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
301529.SZ,20260813,福赛科技,深交所,连续3个交易日内收盘价格涨跌幅偏离值累计达30%,2026-08-11-2026-08-13
002172.SZ,20260813,澳洋健康,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
000692.SZ,20260813,惠天热电,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
002437.SZ,20260813,誉衡药业,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
603330.SH,20260813,天洋新材,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
002081.SZ,20260813,金螳螂,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
600667.SH,20260813,太极实业,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-11-2026-08-13
301602.SZ,20260813,超研股份,深交所,连续3个交易日内收盘价格涨跌幅偏离值累计达30%,2026-08-12-2026-08-13
600683.SH,20260813,京投发展,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
605286.SH,20260813,同力天启,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
000936.SZ,20260813,华西股份,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
002329.SZ,20260813,皇氏集团,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
603466.SH,20260813,风语筑,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
603009.SH,20260813,北特科技,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-11-2026-08-13
605179.SH,20260813,一鸣食品,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
600491.SH,20260813,ST龙元,上交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
300862.SZ,20260813,蓝盾光电,深交所,连续3个交易日内收盘价格涨跌幅偏离值累计达30%,2026-08-12-2026-08-13
000802.SZ,20260813,北京文化,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
000887.SZ,20260813,中鼎股份,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
000593.SZ,20260813,德龙汇能,深交所,连续三个交易日内涨跌幅偏离值累计达20%,2026-08-12-2026-08-13
