trade_date,stock_count,gain_k,gain_top5_amount,gain_share_pct,loss_k,loss_top5_amount,loss_share_pct
20230809,5140,257,98230651.13099998,13.489863823592932,257,117140927.827,16.086782957879304
20230810,5143,258,123887193.18,18.05585157316479,258,85078922.08899999,12.3997674805004
20230811,5144,258,88652344.365,11.76230399867297,258,125152717.532,16.605136845682924
20230814,5143,258,111884186.469,15.252991931537926,258,90323348.7,12.3136374534243
20230815,5145,258,117507659.508,16.828570180508365,258,83312969.799,11.931461873032998
20230816,5148,258,109577059.849,15.764837494919098,258,84890742.51300001,12.213220197591188
20230817,5150,258,95402474.01,13.050125200329632,258,83680910.633,11.446729992806873
20230818,5153,258,75145409.74700001,10.23153028345882,258,109055514.699,14.848608916734966
20230821,5153,258,86454305.304,12.911550017961089,258,91528654.808,13.669380610655477
20230822,5154,258,161118133.063,19.89545753195762,258,69386023.143,8.568040421702248
20230823,5158,258,106118510.456,15.17416701558805,258,104884120.762,14.997658362209968
20230824,5158,258,129927868.868,16.680740597738676,258,101995991.679,13.094717045925028
20230825,5159,258,93109488.049,12.264757573218494,258,104385986.217,13.750143425974754
20230828,5161,259,126901911.263,11.379846216874135,259,76775149.852,6.884761544548645
20230829,5160,258,89617569.832,8.720444184609507,258,128555405.867,12.509380064585224
20230830,5161,259,123033061.94300002,12.610565639915627,259,107548402.886,11.02342876494718
20230831,5161,259,96121431.479,11.74102400372836,259,95901671.38,11.714180785127471
20230901,5163,259,92442003.007,12.515134881342254,259,86390861.22,11.695909278401816
20230904,5162,259,107966214.625,12.288609889663746,259,62707706.256,7.137330339237229
20230905,5165,259,106105389.217,13.295626678680092,259,96810623.849,12.13093814296288
20230906,5166,259,129241818.39699998,16.890029635268505,259,86212244.33500001,11.266688907674482
20230907,5167,259,112758417.644,14.824317063599562,259,102163732.562,13.431436832338942
20230908,5168,259,112825045.455,16.69259294143126,259,82338982.19299999,12.182145439575317
20230911,5169,259,119736204.276,14.38772494670637,259,90744175.059,10.903988807388307
20230912,5170,259,116299612.315,16.589389738935544,259,86829162.53599998,12.385620118093035
20230913,5170,259,97786713.456,14.19867566235281,259,97485503.57,14.154939848698204
20230914,5171,259,110430752.006,16.81035936380031,259,78680562.571,11.97717581143179
20230915,5172,259,89498117.31400001,12.55041222616555,259,97395359.894,13.65785060368238
20230918,5173,259,76353358.524,11.056661092597484,259,89523973.38599999,12.963885970786542
20230919,5173,259,91328264.256,14.58314924125398,259,74409168.351,11.8815354241109
20230920,5175,259,87414497.96400002,15.47430434433121,259,67316659.43599999,11.916541303999187
20230921,5176,259,102822145.994,18.01851416549293,259,54335351.111,9.52170647885248
20230922,5177,259,137803280.35700002,18.23286551889393,259,78010221.81799999,10.321596698002176
20230925,5178,259,111565062.307,15.72455644170422,259,73434318.15900001,10.350212304563104
20230926,5179,259,132605976.312,20.11704757985443,259,77089463.684,11.69489077315552
20230927,5179,259,124857803.135,17.619372491321567,259,73171621.525,10.325650644749974
20230928,5179,259,102615248.225,14.463404877303216,259,79426246.279,11.194963494106728
20231009,5179,259,136605810.607,17.990242742293137,259,63235528.292,8.327775362228488
20231010,5182,260,149811452.27099997,19.61111846026844,260,89352324.817,11.696696081129804
20231011,5182,260,137966191.228,16.66657126090835,260,103879261.545,12.548807063965048
20231012,5182,260,151967572.94300002,18.50208862075924,260,89832464.593,10.937124208361992
20231013,5183,260,169821958.12,21.302802060809924,260,72357401.742,9.07665548088387
20231016,5183,260,136921852.283,17.098416729848346,260,93617631.882,11.690707191657784
20231017,5185,260,130487785.845,17.996353390461795,260,94307071.709,13.006454042455635
20231018,5184,260,183615695.798,24.311329839372856,260,80457655.773,10.652861669037286
20231019,5187,260,128024333.341,15.99082602388977,260,156673255.014,19.569207650957186
20231020,5188,260,102964887.056,14.271613072219791,260,115057523.718,15.947732343531582
20231023,5189,260,144196342.212,20.27929353157976,260,71230967.641,10.017686157437677
20231024,5189,260,96583036.852,12.161275673672971,260,138562279.24699998,17.44710179777628
20231025,5190,260,118585449.38799998,13.765028946238605,260,101663838.875,11.80082119789751
20231026,5190,260,133329569.572,16.04389302239142,260,107564468.402,12.94351155255292
20231027,5191,260,107891385.012,11.321988431000095,260,118213593.14000002,12.405188178547997
20231030,5191,260,132222782.64599998,12.907880785868551,260,89733073.931,8.7599413480194
20231031,5194,260,101230429.271,11.19943262595632,260,127464150.403,14.101749591929394
20231101,5197,260,114147192.219,14.28718411130696,260,102241611.699,12.79702725738378
20231102,5197,260,120521989.057,16.00672241907312,260,104670263.98,13.901428894162922
20231103,5199,260,99736444.664,12.492225411155076,260,73026088.015,9.146690113644194
20231106,5193,260,169293026.078,16.120935722004994,260,84919855.245,8.086496884377665
20231107,5196,260,162325323.342,16.581867417583936,260,94320123.192,9.634995608693533
20231108,5199,260,175406480.63,17.138581849191553,260,110640059.539,10.810397138110453
20231109,5198,260,164995409.831,17.345471114988566,260,158083634.15899998,16.61885692981363
20231110,5199,260,124361841.003,15.209991229382757,260,142853910.233,17.47165130560062
20231113,5201,261,143350870.217,16.692583071133242,261,84822918.03799999,9.877258530358944
20231114,5201,261,149785464.873,16.9799240828547,261,63794642.85,7.231864543093525
20231115,5200,260,131301090.473,13.410601454179677,260,124942685.107,12.761177752210664
20231116,5201,261,136221927.42400002,16.15766689546562,261,96626174.828,11.461103038091228
20231117,5203,261,145324405.515,17.76185778278962,261,105051236.282,12.839585423623284
20231120,5205,261,132706594.214,14.439709085817151,261,103840789.993,11.298841686211922
