序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
774,300308,中际旭创,999.0,1.99,3.93,22084000000.0,22119000000.0,-35183800.0,44362000000.0,5.25,-0.08,443.62,-0.35,220.84,221.19,"沪深300,创业板,深证100"
293,300502,新易盛,503.99,4.37,5.17,16324000000.0,16331000000.0,-6195000.0,32891000000.000004,3.9,-0.02,328.91,-0.06,163.24,163.31,"沪深300,创业板,深证100"
4143,603986,兆易创新,432.3,-6.66,10.66,17264000000.0,14996000000.0,2268000000.0,32260000000.000004,3.82,7.03,322.6,22.68,172.64,149.96,"沪深300,上证50"
4849,002384,东山精密,217.73,-10.0,7.37,11983000000.0,11144000000.0,839000000.0,23151000000.0,2.74,3.62,231.51,8.39,119.83,111.44,"沪深300,深证100"
941,688256,寒武纪,1209.0,1.55,2.57,9702000000.0,10051000000.0,-349000000.0,19752000000.0,2.34,-1.77,197.52,-3.49,97.02,100.51,"沪深300,科创50,上证50"
114,000938,紫光股份,37.64,7.14,16.63,5694000000.0,12366000000.0,-6672000000.0,18167000000.0,2.15,-36.73,181.67,-66.72,56.94,123.66,"沪深300,深证100"
4669,600584,长电科技,76.99,-9.94,11.28,7477000000.0,8808000000.0,-1330000000.0,16284000000.0,1.93,-8.17,162.84,-13.3,74.77,88.08,沪深300
284,300750,宁德时代,376.0,4.44,1.0,8864000000.0,6601000000.000001,2263000000.0,15744999999.999998,1.86,14.37,157.45,22.63,88.64,66.01,"沪深300,创业板,深证100"
4010,000725,京东方A,5.7,-6.1,7.06,6194000000.0,8458000000.0,-2264000000.0,14758000000.000002,1.75,-15.34,147.58,-22.64,61.94,84.58,"沪深300,深证100"
405,688008,澜起科技,189.94,3.45,6.74,7397000000.0,7148000000.0,249000000.00000003,14544999999.999998,1.72,1.71,145.45,2.49,73.97,71.48,"沪深300,科创50,上证50"
175,600519,贵州茅台,1327.5,5.95,0.85,8526000000.000001,5372000000.0,3154000000.0,13897999999.999998,1.65,22.69,138.98,31.54,85.26,53.72,"沪深300,上证50"
3025,600487,亨通光电,56.56,-3.13,9.5,6679000000.000001,6847000000.0,-168000000.0,13527000000.000002,1.6,-1.24,135.27,-1.68,66.79,68.47,
322,000977,浪潮信息,80.57,4.1,11.15,6437000000.0,6973000000.0,-536000000.00000006,13490000000.0,1.6,-3.97,134.9,-5.36,64.37,69.73,"沪深300,深证100"
502,688981,中芯国际,144.0,2.95,4.7,7109999999.999999,6355000000.0,755000000.0,13465000000.0,1.59,5.61,134.65,7.55,71.1,63.55,"沪深300,科创50,上证50"
4238,002156,通富微电,63.5,-7.11,12.54,6578000000.0,6202000000.0,376000000.0,12827000000.000002,1.52,2.93,128.27,3.76,65.78,62.02,
2657,688012,中微公司,342.5,-2.34,3.89,6537000000.0,6182000000.0,355000000.0,12719000000.0,1.51,2.79,127.19,3.55,65.37,61.82,"沪深300,科创50,上证50"
5140,688498,源杰科技,1403.42,-15.25,7.12,6299000000.0,6348000000.0,-48289799.99999999,12647000000.0,1.5,-0.38,126.47,-0.48,62.99,63.48,"中证500,科创50"
4454,600183,生益科技,121.21,-8.38,3.92,6256000000.0,5497000000.0,759000000.0,11753000000.0,1.39,6.46,117.53,7.59,62.56,54.97,"沪深300,上证50"
1942,002371,北方华创,671.7,-0.78,2.28,6007000000.0,5325000000.0,681000000.0,11395000000.0,1.35,5.98,113.95,6.81,60.07,53.25,"沪深300,深证100"
236,688041,海光信息,320.12,5.0,1.57,5852000000.0,5445000000.0,407000000.0,11297000000.0,1.34,3.6,112.97,4.07,58.52,54.45,"沪深300,科创50,上证50"
3163,688525,佰维存储,244.0,-3.5,9.48,5713000000.0,5291000000.0,423000000.00000006,11004000000.0,1.3,3.84,110.04,4.23,57.13,52.91,科创50
2090,300394,天孚通信,208.99,-1.13,4.59,5478000000.0,5200000000.0,278000000.0,10731000000.0,1.27,2.59,107.31,2.78,54.78,52.0,"沪深300,创业板,深证100"
112,688347,华虹宏力,331.48,7.28,8.12,5497000000.0,5142000000.0,356000000.0,10639000000.0,1.26,3.35,106.39,3.56,54.97,51.42,科创50
4328,000063,中兴通讯,33.28,-7.56,7.24,4177000000.0000005,5792000000.0,-1614999999.9999998,10104000000.0,1.2,-15.98,101.04,-16.15,41.77,57.92,"沪深300,深证100"
4847,002463,沪电股份,115.02,-10.0,4.39,5097000000.0,4916000000.0,181000000.0,10098000000.0,1.2,1.79,100.98,1.81,50.97,49.16,"沪深300,深证100"
4509,300476,胜宏科技,220.23,-8.81,5.08,5207000000.0,4763000000.0,444000000.00000006,10036000000.0,1.19,4.42,100.36,4.44,52.07,47.63,"沪深300,创业板,深证100"
3444,600522,中天科技,32.22,-4.25,8.63,4892000000.0,4915000000.0,-22518000.0,9807000000.0,1.16,-0.23,98.07,-0.23,48.92,49.15,沪深300
3892,300604,长川科技,262.98,-5.66,7.05,4967000000.0,4433000000.0,534000000.0,9490000000.0,1.12,5.63,94.9,5.34,49.67,44.33,创业板
238,601318,中国平安,53.23,4.99,1.65,5659000000.0,3553000000.0,2105999999.9999998,9213000000.0,1.09,22.86,92.13,21.06,56.59,35.53,"沪深300,上证50"
386,603019,中科曙光,91.04,3.58,6.51,4511000000.0,4295000000.0,216000000.0,8806000000.0,1.04,2.45,88.06,2.16,45.11,42.95,"沪深300,上证50"
4828,600176,中国巨石,39.42,-10.0,5.3,4946000000.0,3815999999.9999995,1130000000.0,8762000000.0,1.04,12.9,87.62,11.3,49.46,38.16,沪深300
4774,001309,德明利,482.89,-10.0,10.69,7047000000.0,1491000000.0,5556000000.0,8540000000.000001,1.01,65.06,85.4,55.56,70.47,14.91,中证500
199,601869,长飞光纤,382.0,5.65,5.61,4432000000.0,4058000000.0,375000000.0,8490000000.000001,1.01,4.42,84.9,3.75,44.32,40.58,中证500
2465,601138,工业富联,56.5,-1.89,0.74,4240999999.9999995,4247999999.9999995,-7005000.0,8489000000.0,1.01,-0.08,84.89,-0.07,42.41,42.48,沪深300
215,603259,药明康德,124.22,5.37,2.8,4600000000.0,3885000000.0,715000000.0,8484999999.999999,1.0,8.43,84.85,7.15,46.0,38.85,"沪深300,上证50"
4851,002281,光迅科技,170.51,-10.0,5.84,4317000000.0,3714000000.0,603000000.0,8034000000.0,0.95,7.51,80.34,6.03,43.17,37.14,中证500
401,601899,紫金矿业,29.35,3.49,1.34,4504000000.0,3488000000.0000005,1015000000.0,7992000000.0,0.95,12.7,79.92,10.15,45.04,34.88,"沪深300,上证50"
4500,300408,三环集团,90.34,-8.76,4.38,4296000000.0,3344000000.0,952000000.0,7701000000.000001,0.91,12.36,77.01,9.52,42.96,33.44,"沪深300,创业板,深证100"
3723,301308,江波龙,376.0,-5.05,6.91,3627000000.0000005,3843000000.0,-216000000.0,7565000000.000001,0.9,-2.86,75.65,-2.16,36.27,38.43,"沪深300,创业板,深证100"
4751,002185,华天科技,16.85,-9.99,12.88,3596000000.0,3928000000.0,-332000000.0,7526000000.000001,0.89,-4.41,75.26,-3.32,35.96,39.28,中证500
4856,000988,华工科技,105.86,-10.0,6.53,3603000000.0,3615000000.0,-11992000.0,7234000000.0,0.86,-0.17,72.34,-0.12,36.03,36.15,"沪深300,深证100"
5086,300475,香农芯创,151.06,-13.23,9.87,3672999999.9999995,3508000000.0,165000000.0,7226000000.000001,0.86,2.28,72.26,1.65,36.73,35.08,"中证500,创业板"
2959,002475,立讯精密,56.19,-2.97,1.69,3411999999.9999995,3632000000.0,-220000000.00000003,7186000000.0,0.85,-3.06,71.86,-2.2,34.12,36.32,"沪深300,深证100"
699,300059,东方财富,20.14,2.23,2.66,3744000000.0,3301000000.0,443000000.0,7142000000.0,0.85,6.2,71.42,4.43,37.44,33.01,"沪深300,创业板,深证100"
424,300857,协创数据,219.8,3.31,6.44,3604999999.9999995,3447000000.0,158000000.0,7118000000.000001,0.84,2.22,71.18,1.58,36.05,34.47,"中证500,创业板"
4518,688072,拓荆科技,637.05,-8.87,3.76,3797000000.0,3288000000.0000005,509000000.0,7084999999.999999,0.84,7.18,70.85,5.09,37.97,32.88,"沪深300,科创50"
3660,002432,九安医疗,75.37,-4.84,17.88,3179000000.0,3649000000.0,-469000000.00000006,6888000000.0,0.82,-6.81,68.88,-4.69,31.79,36.49,中证500
498,603893,瑞芯微,208.0,2.97,7.51,3247999999.9999995,3322999999.9999995,-75898000.0,6570999999.999999,0.78,-1.16,65.71,-0.76,32.48,33.23,沪深300
392,600900,长江电力,28.98,3.54,0.94,3915000000.0,2653000000.0,1262000000.0,6568000000.000001,0.78,19.21,65.68,12.62,39.15,26.53,上证50
1565,300274,阳光电源,101.64,0.03,3.95,3290000000.0,3129000000.0,160000000.0,6445999999.999999,0.76,2.48,64.46,1.6,32.9,31.29,"创业板,深证100"
5015,688048,长光华芯,301.0,-11.78,11.5,3126000000.0,3308000000.0,-182000000.0,6434000000.0,0.76,-2.83,64.34,-1.82,31.26,33.08,
4458,300223,北京君正,140.88,-8.41,10.02,3173000000.0,3179000000.0,-6542000.0,6369000000.0,0.75,-0.1,63.69,-0.07,31.73,31.79,创业板
