板块代码,板块名称,交易日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券卖出量,融券偿还量,融券净卖出,板块类型
596,融资融券,2026-01-27 00:00:00,2578979041586,253233168892,255095672873,-1862503981,9745340495.9,41303111,42234327,24827736.5751,财富通概念
867,富时罗素,2026-01-27 00:00:00,1557500453315,140665443844,139176853282,1488590562,6653944193.68,31688740,31527157,35816232.5886,财富通概念
821,MSCI中国,2026-01-27 00:00:00,1341126582722,116727113309,115528152720,1198960589,5935277406.83,20632323,22234446,5160523.3351,财富通概念
804,深股通,2026-01-27 00:00:00,1223231377520,127648519250,128383523741,-735004491,4732729728.0,18197380,17340488,19596364.3228,财富通概念
707,沪股通,2026-01-27 00:00:00,1218206907654,109520362837,110442879740,-922516903,4889003774.41,22661145,24363370,6791632.8055,财富通概念
879,标准普尔,2026-01-27 00:00:00,1212839680349,99766850904,99926828667,-159977763,5357720015.21,27769434,27087522,27744356.4489,财富通概念
500,HS300_,2026-01-27 00:00:00,969771175803,73724529733,72081993228,1642536505,3412570122.52,12589573,12608996,44113966.9745,财富通概念
568,深成500,2026-01-27 00:00:00,827637136485,81930644649,81512110352,418534297,3956018367.0,13427660,13295260,-1842689.1188,财富通概念
683,央国企改革,2026-01-27 00:00:00,797391659120,75069737796,77081517081,-2011779285,3691155891.61,19059122,21038024,-21358564.9766,财富通概念
552,机构重仓,2026-01-27 00:00:00,686674677263,56393962747,55848361594,545601153,2691219305.19,13297986,15253092,-17830701.7332,财富通概念
742,创业板综,2026-01-27 00:00:00,593241826757,67546532834,66708539600,837993234,1771271329.0,4171800,4369942,2862237.5323,财富通概念
612,上证180_,2026-01-27 00:00:00,557599314498,39924666751,39704750009,219916742,1810244982.66,8726989,9678161,2914781.4042,财富通概念
854,华为概念,2026-01-27 00:00:00,534933886466,52324744999,52759468815,-434723816,1809962525.12,7242463,7662559,-22208014.8959,财富通概念
701,中证500,2026-01-27 00:00:00,511766713365,60434664965,60582156929,-147491964,3986546477.09,14818189,17738883,-51228793.4833,财富通概念
153,广东板块,2026-01-27 00:00:00,502116547025,44966009364,44468525153,497484211,1736801310.87,5232249,4898656,17226459.5253,财富通地域
718,证金持股,2026-01-27 00:00:00,477123871617,28060822622,27737305057,323517565,1891566355.97,9167979,9974453,3104511.9271,财富通概念
800,人工智能,2026-01-27 00:00:00,458364362434,43281432215,44287094874,-1005662659,1529536973.04,6254522,6080688,-12578573.5789,财富通概念
